…………あの？　どうかしたんですか？= …………那？怎么了？
…………違うことが、したくなったんですか？= …………您想做些不同的事情吗？
すごいです……どっちも、奥まで届いてます= 厉害了。。。两个都伸到后面
すごいです……私、もうイキそうになっていますぅ= 太神奇了……我已经兴奋了
すごいです……私の中、いっぱいになっています……= 太神奇了……它让我充满了……
すごいですっ、お尻の奥まで、動きが響いて来ますぅっ= 太神奇了，你能听到屁股深处的动静！
すごいですね……これ以上続けたら、ダイエットになりそうです……= 太厉害了。。。再这样下去，我要节食了。。
すごいですね……まだまだこんなに出るなんて……ご立派です= 太棒了……看到这么多真是太棒了……太棒了
すごい勢いで、私のお口に出していましたね= 你气势磅礴的放进我嘴里
すごい勢いでした……感じてくれたんですね……= 这是一个巨大的势头......你感受到了...... 
すごい量ですね……だ液と混ぜっても濃いままです= 这是一个惊人的数量......即使与唾液混合也能保持浓稠
すごくいい気分になれました= 我觉得很好 
すごく元気な射精でしたね……全然疲れてないみたいですよ= 射精的劲头十足……一点都不累的样子
すごく感じれたと思います= 我想你真的能感受到它
すごく気持ち良くなれて、良かったです= 我很高兴它让我感觉很好 
すごく興奮していたんですね……= 你太激动了... 
すみません……私一人だけ盛り上がってしまって……= 对不起...我是唯一一个兴奋的人...
すみません……飲み込めませんでした……= 对不起...我咽不下...
せめてもらえるの、待っていました= 至少我一直在等你 
ぜんろくの、ごほうひれすぅ…(全力のご奉仕です)= Zenroku no Gohohiresuu...（我会尽力的）
そ、そんなに激しくされたら、あぁっ、乳首が取れてしまいそうですぅっ……= 好吧，如果你让我这么暴力，啊，我觉得我的乳头会脱落... 
そうですね……これくらいで……= 嗯……就这些了……
そこ、あぁっ……振動が、伝わってます……= 在那里，啊...我能感觉到震动...
そこ、感じさせて下さいね= 请让我感受一下 
そこは……あまり強くしないで下さい……= 那里...不要太强...
そのオモチャで私を弄るんですね……楽しみです= 你和我一起玩那个玩具...我很期待
その強さ……すごく気持ちいいです= 那种力量……感觉真好
その触り方……好きですよ= 你触摸它的方式......我喜欢它
それ、強すぎますっ、あぁぁっ、だめぇ、感じ過ぎちゃいますぅうっ= 太强了，啊，不，我感觉太多了
それじゃあ、始めましょうか= 那么让我们开始吧
それじゃあ、気持ち良くなりましょう= 所以让我们感觉更好
それじゃあ、続けましょうか= 那我们继续
それでは舌で……ご奉仕しますね= 然后用你的舌头...我会为你服务
それをしたいんですね= 你想那样做 
そんなにされたら……お尻中が、熱くなってしまいますっ= 如果你做那么多...你的屁股里面会变热 
そんなにされたら……乳首、取れちゃいます= 如果你做那么多......我会拿走我的乳头
そんなもの持ち出して……どうするつもりですか……= 你打算用那个东西做什么...
そんなオモチャまで持ち出して……どれだけ楽しみたいんですか？= 拿出那样的玩具……你有多想玩得开心？
たくさんイカせてほしいです……= 我要你射很多……
たくさんキスしましょう……私を、蕩けさせて下さい……= 让我们亲吻很多...让我融化... 
たくさん出したから、さすがにお疲れですか？= 我给了你很多，你累了吗？
たくさん出して、スッキリできましたか？= 你出去玩了很多，感觉神清气爽了吗？
たくさん出して、満足できましたか？= 您对投入的金额满意吗？
たくさん出していましたね= 你放了很多 
たくさん出して貰えて、嬉しいです= 我很高兴收到很多
たくさん感じさせてほしいです= 我想让你感受很多
たくさん見てくださいね……= 请看一下...
たっふり……たのひんれくらはいね（たっぷり、楽しんで下さいね）= Taffuri……Tanohinrekura Haine（够了，请欣赏）
たっぷり……動きますから= 很多......它有效
たっぷり……感じてますから= 很多...我感觉到了 
たっぷり、楽しませて下さいね= 让我们玩得开心
たっぷり、楽しみたいです= 我想玩得很开心
たっぷり、気持ち良くなってもらいますね= 我希望你感觉好些
たっぷり、鑑賞して下さい= 很多，请欣赏
たっぷり出してもらえたみたいで……良かったです= 看起来你从中得到了很多......那太棒了 
たっぷり出しましたね……私を白く染めるつもりですか？= 你放了很多……你要把我染白吗？
たっぷり感じてもらいますから= 我想让你感受很多
たっぷり楽しませてあげますね= 我会尽情地招待你
たらくの、らめれす……(叩くの、ダメです)= Work, Ramirez...（打不中）
だしゅんれふか？　いいれふよ（出すんですか？　いいですよ）= 你准备好了吗？Irefuyo（你打算把它放出来吗？没关系）
ちゃんといけたんですね、良かったです= 你做对了，我很高兴
ちゃんとできたみたいで、嬉しいです= 我很高兴它似乎奏效了
ちゃんとアナタも、気持ち良くなっていますか？= 你也感觉好点了吗？
ちゃんとイケたみたいですね……= 听起来你做对了... 
ちゃんと声を出して……感じたいです……= 大声说出来...我想感受一下...
ちゃんと気持ちよくできるように、頑張りますね= 我会尽力让你感到舒服 )
ちゅ、んっ、あちゅくて、ふしひなあひがひまふね……\n（熱くて、不思議な味がしますね）= Chu，nn，Achukute，Fushihinahigahimafune...\n（很热，味道很奇怪。）
ちゅぴ、わらひのしらとむね、ちゅっ、きもひぃいれふか？\n（私の舌と胸、気持ちいいですか？）= Chupi、Warahinoshira 和 Mune、Chu、Kimohii Refu？\n（我的舌头和胸部感觉好吗？）
ちゅぶ、わらひのひた……たっふり、かんひてくらはいね……\n（私の舌、たっぷり感じて下さいね）= chubu, strawahinohita... taffuri, kanhitekura...\n（请感受我的舌头）
ちゅぶ、んぅ……したがぁ、ひゃんとうごひまへん……\n（舌が、ちゃんと動きません）= 中部，嗯...但是，对不起，对不起...\n（我的舌头不能正常移动）
ちゅぶっ、いいれふよ……ひゆうに、いっひゃってくらはいぃっ\n（いいですよ、自由にいっちゃって下さい）= 中部，对不起... Hiyuni，你想要多少\n（没关系，随便说说）
ちゅむ、んっ……あなはのきふぅ、いいかんじれふぅ……= chumu，嗯……你身体不舒服，挺好的……
ちゅよしゅぎへ……かんかくが、なくなっひゃいまふぅ\n（強すぎて、感覚がなくなっちゃいます）= 亲爱的 chuyoshugi... 我的愤怒消失了！
ちゅりゅ、こにょしゃきっぽが、びんはんなんれふよね？\n（この先っぽが、敏感なんですよね？）= Churyu，Konyosha Kippo 是 binhannan，不是吗？\n（这个提示很敏感，不是吗？）
ちゅるぷっ、こほ……ひょっとにがひれふね……\n（ここ、ちょっと苦いですね）= Churupu，koho...也许是鳍...\n（这里有点苦。）
ちょっろれもいはいれす……(ちょっとでも痛いです)= 放一点点吧……（有点疼） 
ぢちゅ、いほがひいれふへど、やりあいがありまふね\n（忙しいですけど、やりがいがありますね）= 我很忙，但这是有益的。
ぢちゅ、ひたぁ、おもひっひり、べおべおしまふはらねぇ……\n（舌、思いっきりベロベロしますね）= Jyu、Hita、Omohihiri、Beobe Oshimafuhara...\n
ぢちゅっ、んっ、なんらか、おいひいひがひまふっ\n（なんだか、美味しい気がします）= 不好意思，我不知道为什么\n（我觉得很好吃）
ぢちゅぶ、あなはの……あちゅくて、おいひいれふ……\n（アナタの、熱くて美味しいです）= Jichubu, Anahano...Achukte, Oi Hirefu...\n（你的又热又好吃）
ぢゅ、しょんなに、からら……よくうごかへまふね……\n（そんなに、体、良く動かせますね）= Jyu，对不起，Karara...我不擅长移动...\n（你的身体移动得真好）
ぢゅ、わあひ、ほのまま……ほのままいひたいれふぅっ\n（私、このまま、このままいきたいですぅ）= Jyu, waahi, Honomama...Honomamai Hitairefuu~\n（我想继续这样）
ぢゅずっ、わらひのおふひれ、なんろれもいひはへへくらはいぃ\n（私のお口で、何度でもいき果てて下さい）= Jyuzu, stravahinofuhire, nanroremoihihahehekuraiy\n
ぢゅずるっ、いふんれふね……しゅごい、ふふらんれまふよぉっ\n（いくんですね、凄い、膨らんでますよ）= Yuzuru，如果你要... Shugoi，如果你是 mafuyo\n
ぢゅずるっ、くひのなはれ、あふくなっへるきがひまふ\n（口の中で、熱くなってる気がします）= Yuzuru，Kuhi no Nahare，我变得浮肿，我累了\n（我觉得嘴里很热）
ぢゅっ、しゅごいれふっ、あなはのきしゅっ、はげひしゅぎまふぅ……= Jyu、Shugoirefu、Anahano Kishu、Hagehishugimafuu……
ぢゅっ、はげしぃきしゅも、しゅごく、きもひいれふ\n（激しいキスも、すごく気持ちいいです）= Jyuu、Hageshii Kishumo、Shugoku、Kimo Hirefu\n（激烈的吻也很舒服）
ぢゅぴゅ、ろうぞぉ、おしゅきなときにしゃへいひてくらはいっ\n（どうぞ、お好きな時に射精して下さい）= Jyupyu，rozoo，想睡就睡吧\n（想射精就射吧）
ぢゅぷちゅ、くひれんたいを……ゆっふりかんひてくらはい……\n（口全体を、ゆっくり感じて下さい）= Jyupuchu, kuhirentai...你想放松多少...\n（请慢慢感受整个嘴巴）
ぢゅむ、のろのおふまれ……いれまふはらね\n（喉の奥まで……入れますからね）= Jyumu，你是个慢热的妈妈。。。我要放在\n里（我会一直往下放的。。。）
ぢゅむ、わらひのおふひれ、いっひゃってくらはいぃっ\n（私のお口で、いっちゃって下さい）= Jyumu，stravahinofuhire，多少钱\n（请用嘴说）
ぢゅりゅ、いいれふよ、しょのままいっひゃっれくらはいぃ……\n（いいですよ、そのままいっちゃって下さい）= 树龙，没关系，就这样吧，好吗？
ぢゅりゅ、いふられも、しゃへいひてくらはいねっ\n（いくらでも、射精して下さいね）= Jyuryu，即使你不喜欢它，我也不想使用它\n（请射多少射多少）
ぢゅりゅ、やしゃひしゅひると、くしゅぐっらいれふか？\n（優しすぎると、くすぐったいですか？）= Jyuryu、Yashahi Shuhiru 和 Kushugurirarefu？\n（太客气了会不会痒？）
ぢゅる、あなはのがかはいのれ、とへもくわへやふいれふ\n（アナタのが硬いので、とても咥えやすいです）= Jyuru，你太难了，你太难了\n
ぢゅるぷっ、こへは……なはなは、いほがひいれふね\n（これは……なかなか忙しいですね）= Yurupu，这位是... Nahana，Ihoga Hirefune\n（这...很忙，不是吗？）
っ……悪くないと思います……= 我不觉得这很糟糕...
つはれへ……かららがうおかないれふ……\n（疲れて体が動かないです）= 我累了……身体动不了了……\n（累了动不了了）
つるけたら、たいぇんなこちょになりましゅ……(続けたら、大変なことになります……)= If you take it, you'll be in trouble... (If you continue, you’ll be at trouble...)
では、体勢を変えますね= 现在让我们换个位置
とても、いい感じでしたよ= 感觉很好 
とても、ハラハラしました……= 我很紧张...
とても、刺激的です……= 太刺激了。。。
とてもたくさん出ましたね……私も安心しました……= 这么多……我也松了口气……
とても素晴らしい射精……ありがとうございました= 非常好的射精......谢谢你
どうかしたんですか？　何か気になる事でも……= 怎么了？就算你有什么心事...
どうしたんですか……なにか作戦でも？= 怎么回事……有攻略吗？
どうしたんですか？　何か気になる事でも……？= 发生了什么？你是不是在担心什么……？
どうしたんですか？　何もしないんでしょうか……= 发生了什么？你打算什么都不做吗……
どうして、こんなに……気持ちいいんでしょうか……= 为什么感觉这么好......
どうして何もしないんですか？　まさか、私を焦らしてるとか？= 你为什么什么都不做？你觉得你在逗我吗？
どうして放置されてるんでしょう……？= 为什么被遗弃了……？
どうしますか？　もう少し待ちましょうか？= 我应该怎么办？我们再等一会儿好吗？
どうぞ、お好きにして下さい= 请喜欢它
どうぞ、我慢せずにイっちゃって下さい= 拜托，不要留恋，放开我
どうでしたか、また感じてもらえたようですね= 怎么样，好像又感觉到了
どうですか……この動きは= 你怎么看...这一招
どうですか……感じてますか= 你感觉怎么样？
どうですか……私の動き、いやらしいですか？= 你觉得……我的动作很恶心？
どうですか、ここ……感じてますか= 这里怎么样……有没有感觉
どうですか、これ……感じてますか= 这怎么……有没有感觉
どうですか？　こんな感じで、大丈夫ですか？= 如何？像这样，你还好吗？
どうですか？　色んな動きで、アナタのものを挟み込んでますよ= 如何？各种动作，我捏你的东西
どうにか今回も飲み込めました……= 不知怎么这次我也吞下去了……
どちらの穴でも、射精してます……= 我在两个洞里射精...
どっちが気持ち良くできるか、競争ですね= 这是一场比赛，看谁能感觉更好
どっちにも、存在感があります……= 两者都有他们的存在... 
どんどん感じてきています……= 越来越觉得了。。
どんどん感じて下さいね= 请越来越多的感受
ないがなんらか……わかいません……\n(何がなんだか、わかりません)= 我不知道，但不知何故...我不知道...\n（我不知道它是什么）
なんとか、飲み込むことが出来ました……= 不知怎的，我能吞下去……
にぇもほまれ……くわへまふはらね（根元まで、咥えますからね）= Niemohomare…… Kuwahemafuharane（因为你可以把它含在嘴里，一直到根部）
にゃめるの……たのひいれふ（舐めるの、楽しいです）= Nyameru no...Tanohirefu（舔很有趣）
ねっとりとしていて、飲みごたえがありました= 它很粘而且很饱
のろが、ふさはってひまいまふ\n（喉が、ふさがってしまいます）= 我怕我会被堵住\n（我的喉咙堵住了）
はぁ……あんなに激しくいってしまうなんて……気持ち良かったです……= 哈……这么暴力的感觉真好……
はぁ……こんなに充実できるなんて、エッチてすごいですね= 哈。。。ecchi竟然这么有成就感真是太神奇了
はぁ……こんなに激しくいくなんて……自分でもびっくりです……= 哈...连我自己都吃惊到这么辛苦...
はぁ……すごく気持ち良かったです= 哈。。。感觉真好 
はぁ……アナタの精液、匂いまで濃厚ですね……体が疼いてきます……= 哈……你的精液，连味道都那么浓郁……我身体好痛……
はぁ……今のがバレていないか……心配です……= 哈。。。不知道是不是现在才发现。。。好担心。。。
はぁ……自分でするのも悪くないです……= 呵呵。。自己做也不错。。
はぁ、はぁ、最高にいい時間でした……= 哈哈，那是最好的时光……
はぁ、ふあふあひてまふ……（フラフラしてます……）= 哈，Fuafuahitemafu……（我晕了……）
はぁ、アソコがぐしょぐしょ……ちょっとした、洪水みたいですね……= 咦，我的小穴湿透了……有点像洪水一样……
はぁ、アナタってそんなにお尻が好きなんですね、なんだか恥ずかしいです……= 哈，你这么喜欢屁股，有点尴尬。。。
はぁ、小さい胸でも、最高に、感じてますからぁっ= 哈哈，胸虽小，但我感觉最好
はぁ、気持ちいいですっ……そこを舐められるのが、最高ですぅっ……= 哈，手感好。。。能舔到就是最好的。。。
はぁ、私のお尻がぁ、アナタのものを絞りつくしてます……= 哈，我的屁股把你的一切都挤出来了...
はぁぁ、いいでし……すごく感じます……= 哈，真好。。。真有感觉。。。
はぁぁ、お尻の、この快感……絶対、クセになると思います……= 哈啊啊，这臀部的快感……我觉得绝对是上瘾了……
はぁぁ、そんなに掻き回されたら、お汁が溢れてきますぅっ= 哈，你这么搅，汁都快溢出来了
はぁぁ、沢山出し過ぎですよ……= 哈，我放多了……
はぁぁっ、アナタの舌、激しくて気持ちいいですぅっ= 哈哈，你的舌头很强烈，感觉很好
はぁっ、お尻、気持ちいいです……アナタの舌、最高に感じますぅっ= 哈，你的屁股感觉棒极了……你的舌头感觉棒极了。
はぁっ、お尻が熱くてっ、身体の奥がゾクゾクして来ますっ……= 哈，我的屁股好热，我的身体在抽动……
はぁっ、お尻の中で……う、動いてますっ= 哈哈，在我屁股里……呃，它在动
はぁっ、ゆっくりなのに、お尻の中が、熱くなっていきます……= 哈，虽然很慢，但我的屁股里面越来越热了...
はぁっ、アナタに胸を揉まれるの……すごく気持ちいいですぅっ= 哈，被你揉胸的感觉真好 
はぁっ、アナタの熱い舌が当たると……すごく興奮して来ます……= 哈，当你的舌头打到我的时候...我真的很兴奋...
はぁっ、中に来てます……= 哈，在里面...
はぁっ、激しいくらいが、好きですっ= 哈，我喜欢到激烈的地步
はぁっ、私、もう、もうイキそうです……アナタに、イかされちゃいますぅっ…= 哈，我已经有快高潮的感觉了……我要被你逼高潮了……
はあぁぁ、中で……アナタの指が、激しく動いてますぅっ= 哈啊啊，里面……你的手指在猛烈地动着
はあく……らしへもらいたいれす……(早く出して貰いたいです)= Haku...我想从Rashi那里得到它...（我希望它尽快出来）
はい……もちろん、お付き合いします= 是的...我当然会和你在一起
はい、また私でよくなってください= 是的，再次和我好起来
はい、大丈夫ですよ。まだまだ動けますから= 是的，没关系。我还能动
はい、構いませんよ= 是的没关系
はい、私もしたいと思ってました= 是的，我想 
はうぅ……お尻で、いきそうですぅ= 咦……好像要跟屁股一起去
はげひいうおひ……きもひいいれふ（激しい動き、気持ちいいです）= Hagehiuohi……Kimohiirefu（剧烈运动，感觉很好）
はげひいのが……いいかんひれふぅ（激しいのが、いい感じです）= 太秃了……我不喜欢。
はげひふへ……きしゅが、とまりまへん（激しくて、キスが止まりません）= 到秃头……Kishuga 停不下来（吻很激烈，停不下来）
はっ、あっ、かららが、はんのうしゅるのも、ちゅかれまふっ\n（体が、反応するのも、疲れます）= 哈，啊，Karara，Hannoushuruno，Chukaremafu \n
はむっ、しゅごいれふ、わらひっ、きしゅれ、いっひゃうぅっ= Hamu、Shugoirefu、Warahi、Kishure、Ihyuuuu 
はむっ、ふぁ～、きしゅで……かららがとけちゃいましゅぅ……\n（キスで体が溶けちゃいますぅ）= 哼，哇~，kishude...我的身体融化了...\n（我的身体被一个吻融化了）
はーっ、すごく感じました、アナタって、上手なんですね……= 哈，我真的感受到了，你很擅长... 
ひぅ……も、らめれふ……ゆびいっほん、うごきまへん……\n（もうだめです、指一本動きません）= 嗯……还有，Lame Lefu……Yubi Ihon，你不能动……\n（我一根手指都动不了了）
ひたにちかぁがはいりまへん……\n（舌に力が入りません）= 我等不及 Hitani Chika...\n
ひたれ、たふはんきもひよふひまふね（舌で、沢山気持ち良くしますね）= Hitare, tafuhanki mo hiyofuhimafune（用你的舌头，让你感觉好多了）
ひたをうおかふたひに……ビクビクはんのぉひまふね\n（舌を動かすたびに、ビクビク反応しますね）= I afraid I'll be afraid\n（每次动舌头，我都害怕）
ひゃああっ、おひぃがぁー、しゅごいかんひへまふぅっ\n（お尻がー、すごい感じてますぅっ）= Hyaaah, Ohigaa, Shugoikanhihemafuu\n（我的屁股感觉棒极了）
ひゃっ、あふぃれふ……（熱いです……）= Hya, Afilefu...（好热...） 
ひゃぶっへるらけれ、ろんろん、こうふんひてきまふ……\n（しゃぶってるだけで、どんどん興奮してきます）= Hyabuhererakere、Ronron、Kofun Hitekimafu...\n（只是吮吸它让我越来越兴奋）
ひりひりして、熱いですね= 又热又热
ふぁぁっ、そんなに揉まれたら、私、どうにかななりそうです= 呼，要是被这样蹭了，我也能做点什么
ふぁっ、いいです、強いの、すごく感じますぅっ= 很好，很给力，真的有感觉
ふぁっ、とても、熱いですっ= 呼，好热
ふぁっ、私の胸、アナタの手の動きで変形してますぅっ= 呸，我的胸都被你的手弄变形了
ふぅ……こんな気持ちになれたのも、アナタのおかげですね……= 呼……多亏了你，我才能有这种感觉……
ふぅ……また私達だけでいっちゃいましたね= 呼……我们又一个人去了
ふぅ……同時にイクのって、なんだかいい気分ですね……= 呼……同时高潮的感觉真好……
ふぅ……最高の時間でしたね= 呼...这是最好的时间
ふぅ……溢れるくらい出してくれるなんて……なんだか嬉しいです= 呼……有点开心，快溢出来了……
ふぅ、すごかったです……体中に余韻が残ってますよ= 哇，太厉害了。。。到现在还能感觉到身体里的余晖
ふはふへ……いいかんひれふ（深くて、いい感じです）= Fuhafuhe……Ikanhirefu（深沉而美好的感觉）
ふはりがかいは、らめれすから……(二人がかりはダメですから)= 因为实在太淫荡了……
ふりゅえへまふぅ……（震えてます）= Furyuehemafuu……（我在发抖）
ほのままぁいっへもいいんれすよ\n（このままイッてもいいんですよ）= 来这里也可以\n（可以这样走）
ほんなに……ろこにはいっへるんれふか……（こんなに、どこに入ってるんですか）= 说真的......我不会去火车头......（它要去哪里？）
ほんほうに……かららが、うおきまへん（本当に体が動きません）= I really can't move my body（我的身体真的不能动）
ほんろうに……ひいかんひれふ（本当にいい感じです）= Honro ni...hiikanhirefu（感觉真好）
まずは何からするんですか？= 你先做什么？
また……いってしまうなんて……変態みたいです……= 又是……像变态一样……
また……また、イッちゃいそうになっています……= 又...我又要射了...
また……アナタにいかされたんですね……体の力が抜けてしまいました……= 又……你占了我的便宜……我的身体没力气了……
また……オナニーが見たんですね= 又...手淫看到了
また、お二人と一緒にいけて、楽しかったです= 还有，和你们两个在一起很开心
また、すればいいんですね。わかりました、任せて下さい= 我应该再做一次。好的，交给我吧
また、またイキそうになってます……= 我又要射了...
また、また痛みが……快感に変わっています……= 又一次，痛苦……变成了快乐……
また、アナタにイカされちゃいそうです……= 还有，看来你会是鱿鱼...
また、一緒にいけましたね= 我们又一起去了
また、一緒に気持ち良くなれましたね= 另外，在一起真好)
また、感じさせて下さいね= 请让我再感受一下 
また、気持ち良くなってしまいましたね= 我又感觉好多了 
また、気持ち良くなってもらえたみたいですね= 另外，看起来你让我感觉好多了 )
また、気持ち良くなれて、最高です= 还有，手感好，是最好的
また、気持ち良くなれましたね= 我又感觉好多了 
また、私……またいっちゃいそうです= 还有，我……我想我会再来的
また、私……イキそうになっています……= 还有，我……我要射了……
また、私……イキそうになってます……もう我慢できません= 还有，我……我快要射了……我受不了了 
また、私が動けばいいんですね= 还有，我希望我能搬家
また、私達だけいっちゃいましたね= 另外，我们是唯一去的人 
また、私達のご奉仕でいってくれたんですね= 还有，你来参加我们的服务
またお二人ですか？　大丈夫ですよ= 又是你们两个吗？没关系 
またお二人にいかされましたね……気持ち良かったですよ= 很高兴再次见到你们。
またお二人にご奉仕ですね……分かりました= 又在伺候你们两个……我明白了。
またご奉仕ですか？　それじゃあ、頑張りますね= 你会再为我服务吗？那么，我会努力的
またご奉仕ですね……任せて下さい= 又是你的服务...请交给我吧
またしてほしいなんて、アナタもお好きですね= 我要你再做一次，你也喜欢
またしてもらえるんですね= 你可以再做一次 
またするんですね……分かりました= 我会再做一次......好吧
またすればいいんですね？　分かりました= 我应该再做一次吗？好的
またみんなで感じ合えて、嬉しいです= 很开心又能和大家一起感受 
またみんなで気持ち良くなれましたね= 很高兴再次见到大家 
またイキそうなんですか？　何回も感じてもらって嬉しいです= 你要再次射精吗？我很高兴你能多次感受到它
またイケて、すごく嬉しいです= 又凉快了，好开心 
また一緒にいけて、嬉しいです= 很高兴再次和你在一起 
また一緒にいけて、幸せです= 很高兴再次在一起 
また一緒にいけるなんて……とっても素敵ですね= 能再在一起……真好 
また二人がかりで、感じさせてもらいました= 又一次，我们两个一起合作，让我们觉得
また射精してくれましたね……とても嬉しいです= 你又射精了...我很开心
また射精しましたね= 你又射精了 
また感じさせてもらいましたね= 你让我再次感受到它 
また感じてもらえて嬉しいです= 很高兴你能再次感受到它 
また揃っていけましたね、良かったです= 很高兴我们又聚在一起 )
また揃っていけるなんて、素晴らしいチームプレイですね= 再次聚在一起真是很棒的团队合作
また気持ち良くしてあげますから= 我会让你再次感觉好起来
また気持ち良くなってもらえて、満足です= 我很高兴你又感觉好多了 )
また気持ち良くなれて、嬉しいです= 我很高兴再次感觉好起来 
また沢山射精してくれましたね……嬉しかったです= 你又射精了很多...我很高兴
また私だけ……申し訳ないです……= 又是我一个人了...对不起...
また私を……イカせるつもりなんでね……= 你又要让我高潮了...
また私達だけいきましたね……本当に気持ち良かったです= 我们又一个人去了。。。真的很不错
また身体が……イキそうになっています……= 还有，我的身体……快要射了……
まだ……堪えられそうです……= 还是...我觉得我能应付...
まだ、ご奉仕しますね= 我还是会伺候你的
まだ、しなくていいんですか？= 我还需要吗？
まだ、アナタと一緒に楽しんでも、大丈夫ですか？= 如果我仍然和你玩得开心可以吗？
まだ、始めてくれないんですか？= 还不能开始吗？
まだ、始めないんですか？= 你还没开始吗？
まだ、疼いてるみたいです……= 好像还在疼。。。
まだ、続けたいんですか？= 你还想继续吗？
まだ、続けてしますからね= 我还要继续 
まだ、続けて大丈夫ですか= 你还好继续吗
まだ、続けますからね= 我还要继续 
まだこんなに出せるんですね……逞しいです= 还能放这么多……好难 
まだこんなに射精できるんですね= 你仍然可以像这样射精 
まだご奉仕して欲しいんですか？　分かりました= 你还要我为你服务吗？好的
まだしてくれるんですね、いいですよ= 你还做，那就好
まだですか？　待ち遠しいです= 再次？我等不及了
まだまだ、続けましょうか= 让我们继续
まだまだ、続けますか？　私は大丈夫です= 你想继续吗？我很好 
まだまだしたいんですね？　いいですよ= 你还想做吗？好的
まだ体が火照ってますから……大丈夫ですよ= 我的身体还在燃烧……没关系 
まっへくらはい……もうきふいれふはら\n（待って下さい、もうきついですから）= 对不起……对不起。\n（等等，已经很难了）
まは……わらひ、いひしょうになっへまふぅっ（また、私、イキそうになってますぅ）= 好吧... Warahi，我要疯了（我又兴奋了） 
まら……わたひなんれすか……？\n(また私なんですか？)= 玛拉...watahinanresu...？\n（又是我吗？）
まらいきしょうれになっへますね、わかいましゅよ……(またイキそうになってますね、分かりますよ)= 你要疯了，宝贝......（你又兴奋了，我明白了）
まらイクんれふか？　いいれふよ、たふはんらひてくらはい\n（またイクんですか？　いいですよ、たくさん出して下さい）= Mara Iku Nrefuka？多少钱？\n
みゃふうっへまふぅ……（脈打ってますぅ）= Myafuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
みんなでいくと、気持ち良さが違いますね= 大家一起去感觉不一样
みんなで気持ち良くなりましょう= 让我们都感觉更好
みんなで気持ち良くなるのは、やっぱり最高ですね= 毕竟大家心情好才是最好的)
みんな一緒にいけるなんて、すごいですね= 大家一起去真是太神奇了
みんな同時だと、何度いっても気持ちいいですね= 大家在同一时间的时候不管说多少次都觉得好 
むにぇほ……ひたれ……かんひてもらいまふ（胸と舌で感じてもらいます）= Munieho……Hitare……Kanhi Terai Mafu（用你的胸部和舌头感受）
むねとひた、りょうほうれごほうひれひるなんへ、うれひいれふ\n（胸と舌、両方でご奉仕できるなんて、嬉しいです）= Mune 和 Hita，Ryohoregohohirehirunanhe，Urehirefu\n
も……しゃしゅがに、ちゅかれへきまひた（もう、さすがに疲れてきました）= 还有... Shashugani，chukare heki mahita（我已经累了）
も……むひれふぅ……わらひ、こわれひゃいまふぅ（もう無理です、私壊れちゃいます）= Mo...Muhirefuu...Warahi，Broken Hyaimafuu（我不能再这样了，我要崩溃了）
も、えんはいがひかいみはいれふね、しゅごくかはくなっへまふ\n（もう限界が近いみたいですね、すごく硬くなってます）= 还有，欲罢不能，欲罢不能。\n
も、もうダメです……私、いっちゃいそうです……= 我不行了……我要走了…… 
も、もうダメです……私、本当に、限界ですぅ= 我不能再做了...我真的到了我的极限
も、もうダメですぅ……私、お尻でいっちゃいそうですぅ……= 我不能再这样做了......我想我要用我的屁股去...... 
もう……にゃにも……かんがへりゃれまへん（もう何も考えられません）= 我什么都想不起来了。
もう、しゃしゅがに……きふいれふ（もう流石に、きついです）= 已经，Shashugani...Kifuiirefu（果然已经很艰难了）
もう、だめです……イッちゃいそうです……= 不行了。。。看来要走了。。
もう、イひそうなんれふね？　があんひないでいいれふよ\n（もう、イキそうなんですね？　我慢しないでいいですよ）= 已经很好了不是吗？不要退缩\n
もう、ダメです……私、イキそうになっています……= 我不能再这样了……我要射了……
もう、ダメです……私、イッちゃいそうです……= 我不行了……我要走了…… 
もう、限界ですっ、私、いっちゃいそうです……= 我已经到极限了...
もういいれふ……からら、きふいれふはら\n（もういいです、体、きついですから）= 已经很好了...Karara，Kifuirefuhara\n
もういきしょうらから、このまま、おねがぁいひまふぅ……\n（もうイキそうだから、このままお願いします）= 以后就这样离开你了，onegaaihimafuu...\n
もういく……私、いっちゃいますからぁ= 我去……我去
もうかららのちはらが……はいりゃないれふ（もう身体の力が、入らないです）= 已经是本体的chihara了……不用进入了（我已经取不到本体的力量了）
もうしばらく、このままでいましょうか？= 我们再这样待一会儿好吗？
もうちゅはれはのれ……こへいひょうは、むりれふ（もう疲れたので、これ以上は無理です）= 我已经累了，所以我不能做更多了。
もうらめれふ……わあひ、いっひゃいそうれす（もうダメです、私、いっちゃいそうです）= 我不能再这样做了，对不起。
もうらめれふ、こへいじょうは……こわれひゃいまふぅっ\n（もうだめです、これ以上は壊れちゃいます）= 已经坏了，要坏了……\n
もうイきそうなんですか？　我慢しないで下さいね= 你准备好射了吗？请不要犹豫
もうイっちゃいそうです、これ以上、我慢できませんっ= 好像已经没了，看不下去了 
もうダメです……私、また限界が近づいてます……= 我做不到了...我又接近极限了...
もう一回ですね。頑張ります= 再一次。我会努力的 
もう少し……続けてみましょう= 多一点……让我们继续
もう私、我慢できそうにないですぅ……= 我受不了了。。。
